key,current_name,other_names,abbreviations,format,start_date,end_date,parents
CO1120,Insolvency List,"","",Court,,,EA73
CO1124,First-tier Tribunal (Mental Health),"","",Tribunal non-departmental public body,,,EA73
CO1125,First-tier Tribunal (General Regulatory Chamber),"","",Tribunal non-departmental public body,,,EA73
CO1126,First-tier Tribunal (War Pensions and Armed Forces Compensation),"","",Tribunal non-departmental public body,,,EA73
CO1127,First-tier Tribunal (Asylum Support),"","",Tribunal non-departmental public body,,,EA73
CO1128,First-tier Tribunal (Tax),"","",Tribunal non-departmental public body,,,EA73
CO1129,Gangmasters Licensing Appeals,"","",Tribunal non-departmental public body,,,EA73
CO1130,First-tier Tribunal (Criminal Injuries Compensation),"","",Tribunal non-departmental public body,,,EA73
CO1131,First-tier Tribunal (Care Standards),"","",Tribunal non-departmental public body,,,EA73
CO1133,Employment Tribunal,"","",Tribunal non-departmental public body,,,EA73
CO1134,Employment Appeal Tribunal,"","",Tribunal non-departmental public body,,,EA73
CO1135,Senior Courts Costs Office,"","",Court,,,EA73
CO1136,First-tier Tribunal (Social Security and Child Support),"","",Tribunal non-departmental public body,,,EA73
CO1145,First-tier Tribunal (Special Educational Needs and Disability),"","",Tribunal non-departmental public body,,,EA73
CO1147,Admiralty Court,"","",Court,,,EA73
CO1155,Family Division of the High Court,"","",Court,,,EA73
CO1156,Planning Court,"","",Court,,,EA73
CO1157,Technology and Construction Court,"","",Court,,,EA73
CO1158,Commercial Circuit Court,"","",Court,,,EA73
CO1159,Commercial Court,"","",Court,,,EA73
CO1160,Companies List,"","",Court,,,EA73
CO1162,Intellectual Property Enterprise Court,"","",Court,,,EA73
CO1163,Court of Appeal Civil Division,"","",Court,,,EA73
CO1165,Northampton County Court Business Centre,"","",Court,,,EA73
CO1170,Patents Court,"","",Court,,,EA73
CO1181,Court of Appeal Criminal Division,"","",Court,,,EA73
CO1183,Queen's Bench Division of the High Court,"","",Court,,,EA73
CO1188,Administrative Court,"","",Court,,,EA73
CO1205,Chancery Division of the High Court,"","",Court,,,EA73
CO1224,The Business and Property Courts,"","",Court,,,EA73
CO1225,"The Property, Trusts and Probate List","","",Court,,,EA73
CO1226,The Intellectual Property List,"","",Court,,,EA73
CO1227,The Financial List,"","",Court,,,EA73
CO1228,The Competition List,"","",Court,,,EA73
CO1229,The Business List,"","",Court,,,EA73
CO1230,The Revenue List,"","",Court,,,EA73
CS1028,Civil Service,"",the Civil Service,Civil Service,,,D2
D1,Attorney General's Office,"",AGO,Ministerial department,,,""
D10,Department for Work and Pensions,Department for Work & Pensions,DWP,Ministerial department,,,""
D101,Crown Prosecution Service,"",CPS,Non-ministerial department,,,D1
D102,Food Standards Agency,"",FSA,Non-ministerial department,,,""
D103,Government Actuary's Department,"",GAD,Non-ministerial department,,,""
D106,Ofsted,"",Ofsted,Non-ministerial department,,,D6
D1073,Department of Justice (Northern Ireland),"","",Other,,,""
D108,Ofgem,"","",Non-ministerial department,,,D11
D109,Ofqual,"",Ofqual,Non-ministerial department,,,D6
D11,Department of Energy & Climate Change,"",DECC,Ministerial department,,2016-07-14,""
